Country,Neighbor
Andorra,France
Andorra,Spain
United Arab Emirates,Oman
United Arab Emirates,Saudi Arabia
Afghanistan,China
Afghanistan,Iran (Islamic Republic of)
Afghanistan,Pakistan
Afghanistan,Tajikistan
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Antigua and Barbuda,
Anguilla,
Albania,Greece
Albania,Montenegro
Albania,North Macedonia
Albania,Serbia
Armenia,Azerbaijan
Armenia,Georgia
Armenia,Iran (Islamic Republic of)
Armenia,Turkey
Angola,Congo
Angola,Congo (the Democratic Republic of the)
Angola,Namibia
Angola,Zambia
Antarctica,
Argentina,Bolivia (Plurinational State Of)
Argentina,Brazil
Argentina,Chile
Argentina,Paraguay
Argentina,Uruguay
American Samoa,
Austria,Czechia
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Liechtenstein
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Australia,
Aruba,
Aland Islands,
Azerbaijan,Armenia
Azerbaijan,Georgia
Azerbaijan,Iran (Islamic Republic of)
Azerbaijan,Russian Federation
Azerbaijan,Turkey
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Serbia
Barbados,
Bangladesh,India
Bangladesh,Myanmar
Belgium,France
Belgium,Germany
Belgium,Luxembourg
Belgium,Netherlands
Burkina Faso,Benin
Burkina Faso,Cote d’Ivoire
Burkina Faso,Ghana
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Togo
Bulgaria,Greece
Bulgaria,North Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Bulgaria,Turkey
Bahrain,
Burundi,Congo (the Democratic Republic of the)
Burundi,Rwanda
Burundi,Tanzania (the United Republic of)
Benin,Burkina Faso
Benin,Niger
Benin,Nigeria
Benin,Togo
Saint Barthelemy,
Bermuda,
Brunei Darussalam,Malaysia
Bolivia (Plurinational State Of),Argentina
Bolivia (Plurinational State Of),Brazil
Bolivia (Plurinational State Of),Chile
Bolivia (Plurinational State Of),Paraguay
Bolivia (Plurinational State Of),Peru
"Bonaire, Sint Eustatius and Saba",
Brazil,Argentina
Brazil,Bolivia (Plurinational State Of)
Brazil,Colombia
Brazil,French Guiana
Brazil,Guyana
Brazil,Paraguay
Brazil,Peru
Brazil,Suriname
Brazil,Uruguay
Brazil,Venezuela (Bolivarian Republic of)
Bahamas,
Bhutan,China
Bhutan,India
Bouvet Island,
Botswana,Namibia
Botswana,South Africa
Botswana,Zambia
Botswana,Zimbabwe
Belarus,Latvia
Belarus,Lithuania
Belarus,Poland
Belarus,Russian Federation
Belarus,Ukraine
Belize,Guatemala
Belize,Mexico
Canada,United States of America
Cocos (Keeling) Islands,
Congo (the Democratic Republic of the),Angola
Congo (the Democratic Republic of the),Burundi
Congo (the Democratic Republic of the),Central African Republic
Congo (the Democratic Republic of the),Congo
Congo (the Democratic Republic of the),Rwanda
Congo (the Democratic Republic of the),South Sudan
Congo (the Democratic Republic of the),Tanzania (the United Republic of)
Congo (the Democratic Republic of the),Uganda
Congo (the Democratic Republic of the),Zambia
Central African Republic,Cameroon
Central African Republic,Chad
Central African Republic,Congo
Central African Republic,Congo (the Democratic Republic of the)
Central African Republic,South Sudan
Central African Republic,Sudan
Congo,Angola
Congo,Cameroon
Congo,Central African Republic
Congo,Congo (the Democratic Republic of the)
Congo,Gabon
Switzerland,Austria
Switzerland,France
Switzerland,Germany
Switzerland,Italy
Switzerland,Liechtenstein
Cote d’Ivoire,Burkina Faso
Cote d’Ivoire,Ghana
Cote d’Ivoire,Guinea
Cote d’Ivoire,Liberia
Cote d’Ivoire,Mali
Cook Islands,
Chile,Argentina
Chile,Bolivia (Plurinational State Of)
Chile,Peru
Cameroon,Central African Republic
Cameroon,Chad
Cameroon,Congo
Cameroon,Equatorial Guinea
Cameroon,Gabon
Cameroon,Nigeria
China,Afghanistan
China,Bhutan
China,Hong Kong
China,India
China,Kazakhstan
China,Korea (Democratic People's Republic of)
China,Kyrgyzstan
China,Lao People's Democratic Republic
China,Macao
China,Mongolia
China,Myanmar
China,Nepal
China,Pakistan
China,Russian Federation
China,Tajikistan
China,Viet Nam
Colombia,Brazil
Colombia,Ecuador
Colombia,Panama
Colombia,Peru
Colombia,Venezuela (Bolivarian Republic of)
Costa Rica,Nicaragua
Costa Rica,Panama
Cuba,
Cabo Verde,
Curacao,
Christmas Island,
Cyprus,
Czechia,Austria
Czechia,Germany
Czechia,Poland
Czechia,Slovakia
Germany,Austria
Germany,Belgium
Germany,Czechia
Germany,Denmark
Germany,France
Germany,Luxembourg
Germany,Netherlands
Germany,Poland
Germany,Switzerland
Djibouti,Eritrea
Djibouti,Ethiopia
Djibouti,Somalia
Denmark,Germany
Dominica,
Dominican Republic,Haiti
Algeria,Libya
Algeria,Mali
Algeria,Mauritania
Algeria,Morocco
Algeria,Niger
Algeria,Tunisia
Algeria,Western Sahara
Ecuador,Colombia
Ecuador,Peru
Estonia,Latvia
Estonia,Russian Federation
Egypt,Israel
Egypt,Libya
Egypt,"Palestine, State of"
Egypt,Sudan
Western Sahara,Algeria
Western Sahara,Mauritania
Western Sahara,Morocco
Eritrea,Djibouti
Eritrea,Ethiopia
Eritrea,Sudan
Spain,Andorra
Spain,France
Spain,Gibraltar
Spain,Morocco
Spain,Portugal
Ethiopia,Djibouti
Ethiopia,Eritrea
Ethiopia,Kenya
Ethiopia,Somalia
Ethiopia,South Sudan
Ethiopia,Sudan
Finland,Norway
Finland,Russian Federation
Finland,Sweden
Fiji,
Falkland Islands (Malvinas),
Micronesia (Federated States of),
Faroe Islands,
France,Andorra
France,Belgium
France,Germany
France,Italy
France,Luxembourg
France,Monaco
France,Spain
France,Switzerland
Gabon,Cameroon
Gabon,Congo
Gabon,Equatorial Guinea
United Kingdom of Great Britain and Northern Ireland,Ireland
Grenada,
Georgia,Armenia
Georgia,Azerbaijan
Georgia,Russian Federation
Georgia,Turkey
French Guiana,Brazil
French Guiana,Suriname
Guernsey,
Ghana,Burkina Faso
Ghana,Cote d’Ivoire
Ghana,Togo
Gibraltar,Spain
Greenland,
Gambia (the),Senegal
Guinea,Cote d’Ivoire
Guinea,Guinea-Bissau
Guinea,Liberia
Guinea,Mali
Guinea,Senegal
Guinea,Sierra Leone
Guadeloupe,
Equatorial Guinea,Cameroon
Equatorial Guinea,Gabon
Greece,Albania
Greece,Bulgaria
Greece,North Macedonia
Greece,Turkey
South Georgia and the South Sandwich Islands,
Guatemala,Belize
Guatemala,El Salvador
Guatemala,Honduras
Guatemala,Mexico
Guam,
Guinea-Bissau,Guinea
Guinea-Bissau,Senegal
Guyana,Brazil
Guyana,Suriname
Guyana,Venezuela (Bolivarian Republic of)
Hong Kong,China
Heard Island and McDonald Islands,
Honduras,El Salvador
Honduras,Guatemala
Honduras,Nicaragua
Croatia,Bosnia and Herzegovina
Croatia,Hungary
Croatia,Montenegro
Croatia,Serbia
Croatia,Slovenia
Haiti,Dominican Republic
Hungary,Austria
Hungary,Croatia
Hungary,Romania
Hungary,Serbia
Hungary,Slovakia
Hungary,Slovenia
Hungary,Ukraine
Indonesia,Malaysia
Indonesia,Papua New Guinea
Indonesia,Timor-Leste
Ireland,United Kingdom of Great Britain and Northern Ireland
Israel,Egypt
Israel,Jordan
Israel,Lebanon
Israel,"Palestine, State of"
Israel,Syrian Arab Republic
Isle of Man,
India,Bangladesh
India,Bhutan
India,China
India,Myanmar
India,Nepal
India,Pakistan
British Indian Ocean Territory,
Iraq,Iran (Islamic Republic of)
Iraq,Jordan
Iraq,Kuwait
Iraq,Saudi Arabia
Iraq,Syrian Arab Republic
Iraq,Turkey
Iran (Islamic Republic of),Afghanistan
Iran (Islamic Republic of),Armenia
Iran (Islamic Republic of),Azerbaijan
Iran (Islamic Republic of),Iraq
Iran (Islamic Republic of),Pakistan
Iran (Islamic Republic of),Turkey
Iran (Islamic Republic of),Turkmenistan
Iceland,
Italy,Austria
Italy,France
Italy,San Marino
Italy,Slovenia
Italy,Switzerland
Italy,Holy See
Jersey,
Jamaica,
Jordan,Iraq
Jordan,Israel
Jordan,"Palestine, State of"
Jordan,Saudi Arabia
Jordan,Syrian Arab Republic
Japan,
Kenya,Ethiopia
Kenya,Somalia
Kenya,South Sudan
Kenya,Tanzania (the United Republic of)
Kenya,Uganda
Kyrgyzstan,China
