Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex
39.1,18.7,181,3750,MALE
39.5,17.4,186,3800,FEMALE
40.3,18.0,195,3250,FEMALE
37.6,18.5,188,3500,MALE
36.7,19.3,193,3450,FEMALE
39.3,20.6,190,3650,MALE
38.9,17.8,181,3625,FEMALE
39.2,19.6,195,4675,MALE
34.1,18.1,193,3475,FEMALE
42.0,20.2,190,4250,FEMALE
37.8,17.1,186,3300,MALE
37.8,17.3,180,3700,MALE
41.1,17.6,182,3200,FEMALE
38.6,21.2,191,3800,MALE
34.6,21.1,198,4400,MALE
36.6,17.8,185,3700,FEMALE
38.7,19.0,195,3450,FEMALE
42.5,20.7,197,4500,MALE
34.4,18.4,184,3325,FEMALE
46.0,21.5,194,4200,MALE
37.8,18.3,174,3400,FEMALE
37.7,18.7,180,3600,MALE
35.9,19.2,189,3800,FEMALE
38.2,18.1,185,3950,MALE
38.8,17.2,180,3800,MALE
35.3,18.9,187,3800,FEMALE
40.6,18.6,183,3550,MALE
40.5,17.9,187,3200,FEMALE
37.9,18.6,172,3150,FEMALE
40.5,18.9,180,3950,MALE
39.5,16.7,178,3250,FEMALE
37.2,18.1,178,3900,MALE
39.5,17.8,188,3300,FEMALE
40.9,18.9,184,3900,MALE
36.4,17.0,195,3325,FEMALE
39.2,21.1,196,4150,MALE
38.8,20.0,190,3950,MALE
42.2,18.5,180,3550,FEMALE
37.6,19.3,181,3300,FEMALE
39.8,19.1,184,4650,MALE
36.5,18.0,182,3150,FEMALE
40.8,18.4,195,3900,MALE
36.0,18.5,186,3100,FEMALE
44.1,19.7,196,4400,MALE
37.0,16.9,185,3000,FEMALE
39.6,18.8,190,4600,MALE
41.1,19.0,182,3425,MALE
37.5,18.9,179,2975,MALE
36.0,17.9,190,3450,FEMALE
42.3,21.2,191,4150,MALE
39.6,17.7,186,3500,FEMALE
40.1,18.9,188,4300,MALE
35.0,17.9,190,3450,FEMALE
42.0,19.5,200,4050,MALE
34.5,18.1,187,2900,FEMALE
41.4,18.6,191,3700,MALE
39.0,17.5,186,3550,FEMALE
40.6,18.8,193,3800,MALE
36.5,16.6,181,2850,FEMALE
37.6,19.1,194,3750,MALE
35.7,16.9,185,3150,FEMALE
41.3,21.1,195,4400,MALE
37.6,17.0,185,3600,FEMALE
41.1,18.2,192,4050,MALE
36.4,17.1,184,2850,FEMALE
41.6,18.0,192,3950,MALE
35.5,16.2,195,3350,FEMALE
41.1,19.1,188,4100,MALE
35.9,16.6,190,3050,FEMALE
41.8,19.4,198,4450,MALE
33.5,19.0,190,3600,FEMALE
39.7,18.4,190,3900,MALE
39.6,17.2,196,3550,FEMALE
45.8,18.9,197,4150,MALE
35.5,17.5,190,3700,FEMALE
42.8,18.5,195,4250,MALE
40.9,16.8,191,3700,FEMALE
37.2,19.4,184,3900,MALE
36.2,16.1,187,3550,FEMALE
42.1,19.1,195,4000,MALE
34.6,17.2,189,3200,FEMALE
42.9,17.6,196,4700,MALE
36.7,18.8,187,3800,FEMALE
35.1,19.4,193,4200,MALE
37.3,17.8,191,3350,FEMALE
41.3,20.3,194,3550,MALE
36.3,19.5,190,3800,MALE
36.9,18.6,189,3500,FEMALE
38.3,19.2,189,3950,MALE
38.9,18.8,190,3600,FEMALE
35.7,18.0,202,3550,FEMALE
41.1,18.1,205,4300,MALE
34.0,17.1,185,3400,FEMALE
39.6,18.1,186,4450,MALE
36.2,17.3,187,3300,FEMALE
40.8,18.9,208,4300,MALE
38.1,18.6,190,3700,FEMALE
40.3,18.5,196,4350,MALE
33.1,16.1,178,2900,FEMALE
43.2,18.5,192,4100,MALE
35.0,17.9,192,3725,FEMALE
41.0,20.0,203,4725,MALE
37.7,16.0,183,3075,FEMALE
37.8,20.0,190,4250,MALE
37.9,18.6,193,2925,FEMALE
39.7,18.9,184,3550,MALE
38.6,17.2,199,3750,FEMALE
38.2,20.0,190,3900,MALE
38.1,17.0,181,3175,FEMALE
43.2,19.0,197,4775,MALE
38.1,16.5,198,3825,FEMALE
45.6,20.3,191,4600,MALE
39.7,17.7,193,3200,FEMALE
42.2,19.5,197,4275,MALE
39.6,20.7,191,3900,FEMALE
42.7,18.3,196,4075,MALE
38.6,17.0,188,2900,FEMALE
37.3,20.5,199,3775,MALE
35.7,17.0,189,3350,FEMALE
41.1,18.6,189,3325,MALE
36.2,17.2,187,3150,FEMALE
37.7,19.8,198,3500,MALE
40.2,17.0,176,3450,FEMALE
41.4,18.5,202,3875,MALE
35.2,15.9,186,3050,FEMALE
40.6,19.0,199,4000,MALE
38.8,17.6,191,3275,FEMALE
41.5,18.3,195,4300,MALE
39.0,17.1,191,3050,FEMALE
44.1,18.0,210,4000,MALE
38.5,17.9,190,3325,FEMALE
43.1,19.2,197,3500,MALE
36.8,18.5,193,3500,FEMALE
37.5,18.5,199,4475,MALE
38.1,17.6,187,3425,FEMALE
41.1,17.5,190,3900,MALE
35.6,17.5,191,3175,FEMALE
40.2,20.1,200,3975,MALE
37.0,16.5,185,3400,FEMALE
39.7,17.9,193,4250,MALE
40.2,17.1,193,3400,FEMALE
40.6,17.2,187,3475,MALE
32.1,15.5,188,3050,FEMALE
40.7,17.0,190,3725,MALE
37.3,16.8,192,3000,FEMALE
39.0,18.7,185,3650,MALE
39.2,18.6,190,4250,MALE
36.6,18.4,184,3475,FEMALE
36.0,17.8,195,3450,FEMALE
37.8,18.1,193,3750,MALE
36.0,17.1,187,3700,FEMALE
